"","DOI","Ecosystem","Taxonomic","TaxonomicGroup","GlobalChange","GlobalChangeCat","Predictive","TOS","TT","filter","distrubance tolerance","energy density","feeding mode","horizontal habitat","host characteristics","human disturbance","integument","larval/juvenile stage length","lipid","liver-free body","mortality","nitrogen","parasite traits","pollution tolerance","predation","pulp traits","rostrum","senescence","storage","stream size"
"3","10.1002/eap.1434","Terrestrial","Birds","Vertebrate","Climate Change","yes",1,"Observational","Behavioural","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6","10.1002/eap.1554/full","Freshwater","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","10.1002/eap.1621","Freshwater","Multiple","Multiple","Global Change Broad","yes",0,"Observational","Physiological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10","10.1002/ece3.1286","Terrestrial","Plants","Plants","Invasion","yes",0,"Experiment","Morphological","Biotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12","10.1002/ece3.2081","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","10.1002/ece3.2606","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","10.1002/ece3.3068","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18","10.1002/ece3.3297","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23","10.1002/ece3.4377","Terrestrial","Multiple","Multiple","0","no",0,"Review","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","10.1002/ece3.4896","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","10.1002/ece3.5121","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","10.1002/eco.1655","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34","10.1002/ecs2.2164","Terrestrial","Plants","Plants","0","no",0,"Experiment","Life History","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"37","10.1002/ecs2.2374","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","10.1002/ecs2.2460","Marine","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","10.1002/ecy.1485","Freshwater","Multiple","Multiple","Invasion","yes",0,"Experiment","Morphological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","10.1006/jaar.1998.0326","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","10.1007/BF00133308","Terrestrial","Birds","Vertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","10.1007/s00442-004-1650-z","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","10.1007/s00442-004-1770-5","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"71","10.1007/s00442-012-2431-8","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"72","10.1007/s00442-013-2673-0","Freshwater","Other","Other","0","no",0,"Theoretical","Behavioural","Biotic",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"73","10.1007/s00442-014-2917-7","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"74","10.1007/s00442-014-3039-y","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","10.1007/s00442-015-3430-3","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Biotic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","10.1007/s00442-016-3547-z","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"80","10.1007/s00442-016-3631-4","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","10.1007/s10021-015-9875-8","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","10.1007/s10452-015-9546-z","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"94","10.1007/s10452-016-9596-x","Freshwater","Plants","Plants","Global Change Broad","yes",0,"Review","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96","10.1007/s10452-017-9634-3","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"98","10.1007/s10531-014-0742-2","Terrestrial","Plants","Plants","Invasion","yes",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"106","10.1007/s10661-015-4519-1","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"108","10.1007/s10682-005-2005-x","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"110","10.1007/s10682-018-9945-4","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112","10.1007/s10750-015-2191-7","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","10.1007/s10750-017-3199-y","Freshwater","Fish","Vertebrate","0","no",0,"Review","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","10.1007/s10750-018-3697-6","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","10.1007/s11104-018-3816-1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"123","10.1007/s11160-016-9446-x","Freshwater","Fish","Vertebrate","Habitat Degredation","yes",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","10.1007/s11284-016-1373-8","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"131","10.1007/s12080-011-0148-7","Multiple","Multiple","Multiple","0","no",1,"Theoretical","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"133","10.1007/s13593-013-0166-5","Terrestrial","Plants","Plants","0","no",0,"Review","Life History","Abiotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","10.1007/s13595-019-0830-2","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"137","10.1016/B978-0-12-386475-8.00005-8","Marine","Multiple","Multiple","Global Change Multiple","yes",1,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","10.1016/B978-0-12-420002-9.00002-0","Terrestrial","Multiple","Multiple","0","no",0,"Review","Morphological","Biotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"144","10.1016/j.agee.2017.01.036","Terrestrial","Other","Other","0","no",0,"Observational","Physiological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"149","10.1016/j.anbehav.2017.07.010","Marine","Fish","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","10.1016/j.csr.2009.01.003","Marine","Fish","Vertebrate","Exploitation","yes",0,"Observational","Life History","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","10.1016/j.ecocom.2012.03.003","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"162","10.1016/j.ecolind.20.17.05.066","Freshwater","Plants","Plants","0","no",0,"Review","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"164","10.1016/j.ecolind.2016.07.019","Marine","Other","Other","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","10.1016/j.ecolind.2017.12.003","Marine","Plankton","Invertebrate","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"169","10.1016/j.ecss.2013.06.019","Marine","Other","Other","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","10.1016/j.ecss.2015.05.023","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","10.1016/j.ecss.2017.11.016","Marine","Other","Other","Invasion","yes",0,"Experiment","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","10.1016/j.foreco.2018.04.032","Terrestrial","Plants","Plants","Climate Change","yes",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"184","10.1016/j.jtbi.2011.05.033","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"186","10.1016/j.marenvres.2017.09.004","Marine","Fish","Vertebrate","Habitat Degredation","yes",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","10.1016/j.marpolbul.2007.10.019","Marine","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"188","10.1016/j.mbs.2016.01.005","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"189","10.1016/j.ncon.2016.09.006","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"196","10.1016/j.rse.2015.06.010","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"197","10.1016/j.rse.2018.03.038","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"199","10.1016/j.scitotenv.2016.04.193","Freshwater","Other","Other","Habitat Degredation","yes",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"200","10.1016/j.scitotenv.2016.07.227","Freshwater","Other","Other","Habitat Degredation","yes",0,"Observational","Physiological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","10.1017/S0031182004005050","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","10.1017/S0952836900002016","Marine","Other","Other","Invasion","yes",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"225","10.1038/ncomms9877","Terrestrial","Multiple","Multiple","Habitat Degredation","yes",0,"Metanalysis","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","10.1038/s41598-017-00429-9","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"229","10.1038/s41598-018-32078-x","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Biotic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","10.1038/srep24110","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"233","10.1038/srep33383","Terrestrial","Insects","Invertebrate","Climate Change","yes",1,"Theoretical","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"238","10.1046/j.1365-2427.2000.00535.x","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Dispersal",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"241","10.1046/j.1365-2435.2002.00664.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"242","10.1046/j.1365-2656.2003.00727.x","Marine","Birds","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"248","10.1073/pnas.1015178108","Multiple","Multiple","Multiple","Climate Change","yes",0,"Review","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"249","10.1073/pnas.1215513110","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"253","10.1073/pnas.1310700110","Terrestrial","Plants","Plants","Climate Change","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"254","10.1073/pnas.1315179111","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Dispersal",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"263","10.1080/17550874.2017.1345997","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"265","10.1086/505157","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"267","10.1086/685894","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","10.1086/696978","Freshwater","Other","Other","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","10.1086/703155","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"277","10.1093/beheco/ars040","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Dispersal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"282","10.1093/jpe/rtt064","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"291","10.1098/rsos.181702","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Dispersal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"294","10.1098/rspb.2005.3236","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304","10.1098/rspb.2017.1345","Marine","Fish","Vertebrate","0","no",0,"Review","Morphological","Dispersal",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"311","10.1103/PhysRevE.88.062721","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"312","10.1111/1365-2435.12075","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314","10.1111/1365-2435.12120","Terrestrial","Plants","Plants","Invasion","yes",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"316","10.1111/1365-2435.12162","Terrestrial","Plants","Plants","0","no",0,"Metanalysis","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"320","10.1111/1365-2435.12718","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Biotic",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"322","10.1111/1365-2435.12784","Marine","Plankton","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"326","10.1111/1365-2435.12894","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","10.1111/1365-2435.12938","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"331","10.1111/1365-2435.13141","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","10.1111/1365-2435.13142","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335","10.1111/1365-2656.12081","Multiple","Multiple","Multiple","Climate Change","yes",0,"Theoretical","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"337","10.1111/1365-2656.12161","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"339","10.1111/1365-2656.12218","Marine","Multiple","Multiple","0","no",0,"Theoretical","Morphological","Trophic",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"342","10.1111/1365-2656.12271","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"343","10.1111/1365-2656.12274","Marine","Fish","Vertebrate","Exploitation","yes",0,"Theoretical","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"345","10.1111/1365-2656.12478","Marine","Birds","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348","10.1111/1365-2656.12648","Terrestrial","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349","10.1111/1365-2656.12650","Marine","Birds","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","10.1111/1365-2656.12747","Terrestrial","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"355","10.1111/1365-2656.13029","Multiple","Birds","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","10.1111/1365-2664.12037","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"359","10.1111/1365-2664.12493","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360","10.1111/1365-2664.12516","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"365","10.1111/1365-2664.13134","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"366","10.1111/1365-2745.12003","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"367","10.1111/1365-2745.12012","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"370","10.1111/1365-2745.12160","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"373","10.1111/1365-2745.12366","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"375","10.1111/1365-2745.12489","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"376","10.1111/1365-2745.12536","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"377","10.1111/1365-2745.12598","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"380","10.1111/1365-2745.12658","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"381","10.1111/1365-2745.12747","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","10.1111/1365-2745.12802","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"384","10.1111/1365-2745.12996","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"388","10.1111/1752-1688.12650","Freshwater","Other","Other","0","no",0,"Observational","Physiological","Dispersal",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"392","10.1111/2041-210X.12591","Freshwater","Other","Other","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395","10.1111/bij.12238","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
