"","DOI","Ecosystem","Taxonomic","TaxonomicGroup","GlobalChange","GlobalChangeCat","Predictive","TOS","TT","filter","distrubance tolerance","energy density","feeding mode","horizontal habitat","host characteristics","human disturbance","integument","larval/juvenile stage length","lipid","liver-free body","mortality","nitrogen","parasite traits","pollution tolerance","predation","pulp traits","rostrum","senescence","storage","stream size"
"400","10.1111/cobi.12378","Marine","Birds","Vertebrate","Global Change Broad","yes",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406","10.1111/ddi.12785","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408","10.1111/ecog.00473","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"414","10.1111/ecog.02926","Freshwater","Plankton","Invertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"421","10.1111/een.1.2425","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"426","10.1111/ele.12081","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Life History","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"427","10.1111/ele.12157","Multiple","Multiple","Multiple","0","no",0,"Review","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"433","10.1111/ele.12642","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"434","10.1111/ele.12688","Marine","Other","Other","0","no",0,"Review","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"437","10.1111/ele.12945","Multiple","Plants","Plants","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"443","10.1111/faf.12155","Marine","Fish","Vertebrate","Climate Change","yes",0,"Review","Physiological","Abiotic",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"447","10.1111/fwb.12554","Freshwater","Multiple","Multiple","0","no",0,"Observational","Physiological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"448","10.1111/fwb.12934","Freshwater","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449","10.1111/fwb.12961","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452","10.1111/gcb.12355","Freshwater","Multiple","Multiple","Global Change Broad","yes",0,"Observational","Behavioural","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456","10.1111/gcb.12862","Terrestrial","Birds","Vertebrate","Global Change Broad","yes",0,"Review","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462","10.1111/gcb.13542","Terrestrial","Plants","Plants","Climate Change","yes",0,"Theoretical","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"467","10.1111/geb.12030","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"469","10.1111/geb.12148","Terrestrial","Birds","Vertebrate","0","no",0,"Review","Morphological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470","10.1111/geb.12167","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"471","10.1111/geb.12249","Terrestrial","Plants","Plants","Invasion","yes",0,"Metanalysis","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"473","10.1111/geb.12475","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"476","10.1111/geb.12567","Terrestrial","Multiple","Multiple","Invasion","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"477","10.1111/geb.12636","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"479","10.1111/geb.12783","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"481","10.1111/icad.12051","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483","10.1111/icad.12271","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498","10.1111/j.1365-2427.1994.tb01756.x","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"502","10.1111/j.1365-2435.2009.01528.x","Terrestrial","Mammals","Vertebrate","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"504","10.1111/j.1365-2435.2010.01727.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"510","10.1111/j.1365-2656.2006.01068.x","Freshwater","Other","Other","0","no",0,"Observational","Life History","Dispersal",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"524","10.1111/j.1365-2664.2012.02211.x","Terrestrial","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527","10.1111/j.1365-2699.2011.02502.x","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"532","10.1111/j.1365-2745.2010.01651.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"533","10.1111/j.1365-2745.2010.01662.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"537","10.1111/j.1365-2745.2011.01860.x","Terrestrial","Plants","Plants","Invasion","yes",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"538","10.1111/j.1365-2745.2011.01932.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"539","10.1111/j.1365-2745.2012.01965.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"540","10.1111/j.1365-2745.2012.01966.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"545","10.1111/j.1461-0248.2008.01255.x","Terrestrial","Multiple","Multiple","Habitat Degredation","yes",0,"Metanalysis","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","10.1111/j.1461-0248.2009.01307.x","Terrestrial","Mammals","Vertebrate","Global Change Broad","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"547","10.1111/j.1461-0248.2010.01456.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","10.1111/j.1461-0248.2010.01493.x","Terrestrial","Birds","Vertebrate","0","no",0,"Review","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549","10.1111/j.1461-0248.2010.01541.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"551","10.1111/j.1461-0248.2012.01744.x","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554","10.1111/j.1466-8238.2010.00623.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"559","10.1111/j.1469-1795.2012.00528.x","Terrestrial","Birds","Vertebrate","Habitat Degredation","yes",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562","10.1111/j.1472-4642.2009.00599.x","Terrestrial","Plants","Plants","Invasion","yes",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"563","10.1111/j.1529-8817.2010.00890.x","Marine","Plants","Plants","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"565","10.1111/j.1600-0587.2012.00011.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Dispersal",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"567","10.1111/j.1600-0587.2013.00237.x","Terrestrial","Plants","Plants","Climate Change","yes",1,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"569","10.1111/j.1600-0706.2010.18411.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"572","10.1111/j.1600-0706.2012.20025.x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"583","10.1111/jbi.12284","Terrestrial","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"593","10.1111/jbi.13171","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"594","10.1111/jbi.13457","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600","10.1111/jeb.12923","Freshwater","Other","Other","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606","10.1111/jvs.12066","Terrestrial","Plants","Plants","0","no",0,"Review","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"607","10.1111/jvs.12151","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"609","10.1111/jvs.12252","Terrestrial","Plants","Plants","0","no",1,"Theoretical","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"612","10.1111/jvs.12375","Terrestrial","Plants","Plants","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"614","10.1111/jvs.12555","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"619","10.1111/mam.12035","Terrestrial","Mammals","Vertebrate","0","no",0,"Review","Behavioural","Biotic",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624","10.1111/mec.14872","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632","10.1111/oik.01544","Marine","Multiple","Multiple","Global Change Multiple","yes",1,"Experiment","Morphological","Abiotic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633","10.1111/oik.02100","Marine","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638","10.1111/oik.04712","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"642","10.1111/plb.12566","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"643","10.1111/wre.12126","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"644","10.1126/science.1160662","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"653","10.1177/1059712311426800","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Experiment","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"656","10.1186/1471-2148-13-132","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658","10.1186/1471-2148-14-156","Marine","Other","Other","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"661","10.1186/2193-1801-3-630","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670","10.1371/journal.pone.0053873","Multiple","Herpetofauna","Vertebrate","0","no",0,"Theoretical","Morphological","Trophic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"672","10.1371/journal.pone.0081739","Terrestrial","Multiple","Multiple","0","no",0,"Metanalysis","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674","10.1371/journal.pone.0090437","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"675","10.1371/journal.pone.0093237","Freshwater","Fish","Vertebrate","Invasion","yes",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"680","10.1371/journal.pone.0114290","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"682","10.1371/journal.pone.0130151","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"684","10.1371/journal.pone.0131630","Freshwater","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"688","10.1371/journal.pone.0172879","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"703","10.1666/13024","Marine","Other","Other","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706","10.1890/0012-9658(2003)084[1129:AHUISP]2.0.CO;2","Marine","Multiple","Multiple","0","no",0,"Theoretical","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"713","10.1890/09-1672.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"715","10.1890/10-0394.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"716","10.1890/10-1245.1","Terrestrial","Plants","Plants","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"717","10.1890/10-1961.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"718","10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"720","10.1890/11-0975.1","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"721","10.1890/11-2026.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"723","10.1890/13-2036.1","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"726","10.1890/13-2377.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"729","10.1890/14-0454.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"732","10.1890/14-2326.1.sm","Terrestrial","Insects","Invertebrate","0","no",0,"Review","Morphological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"733","10.1890/14-2357.1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"734","10.1890/15-0794.1","Freshwater","Other","Other","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"735","10.1890/15-1084.1","Multiple","Plankton","Invertebrate","0","no",0,"Metanalysis","Physiological","Abiotic",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"739","10.1890/ES13-00102.1","Terrestrial","Plants","Plants","Global Change Broad","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"740","10.1899/06-12.1","Freshwater","Other","Other","Habitat Degredation","yes",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"744","10.2307/1467813","Freshwater","Insects","Invertebrate","0","no",0,"Review","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748","10.2307/1941217","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"751","10.2307/2410901","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Life History","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"753","10.2307/2937081","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"755","10.2307/5755","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"758","10.3354/meps09086","Marine","Fish","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"759","10.3354/meps10036","Marine","Multiple","Multiple","Habitat Degredation","yes",1,"Theoretical","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"761","10.3354/meps11626","Marine","Birds","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"762","10.3354/meps12165","Marine","Multiple","Multiple","Exploitation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"763","10.3389/fevo.2017.00084","Terrestrial","Birds","Vertebrate","Habitat Degredation","yes",0,"Review","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"764","10.3389/fevo.2018.00219","Multiple","Plants","Plants","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"769","10.3389/fpls.2016.00189","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"772","10.3390/f9010019","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"773","10.3390/f9030122","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"774","10.3390/f9110722","Terrestrial","Plants","Plants","Global Change Multiple","yes",1,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"775","10.3390/insects10040103","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"778","10.3390/w11020222","Freshwater","Plankton","Invertebrate","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"779","10.3732/ajb.1400437","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"781","10.5194/bg-14-3371-2017","Terrestrial","Plants","Plants","0","no",0,"Review","Physiological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"782","10.7717/peerj.1241","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784","10.7717/peerj.2387","Marine","Fish","Vertebrate","0","no",0,"Observational","Life History","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"786","10.7717/peerj.3092","Terrestrial","Birds","Vertebrate","Invasion","yes",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"787","10.7717/peerj.3552","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"789","http://dx.doi.org/10.3389/fevo.2018.00081.s001","Multiple","Multiple","Multiple","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"790","unknown_1","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Trophic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"791","unknown_10","Multiple","Multiple","Multiple","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"792","unknown_11","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"794","unknown_13","Marine","Multiple","Multiple","0","no",0,"Review","Life History","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"807","unknown_25","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"812","unknown_3","Marine","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813","unknown_30","Multiple","Plankton","Invertebrate","0","no",0,"Review","Morphological","Trophic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"815","unknown_32","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"818","unknown_6","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"819","unknown_7","Marine","Fish","Vertebrate","0","no",0,"Experiment","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
