Journal,Number of Relevant Papers
ECOLOGY,40
JOURNAL OF ECOLOGY,36
JOURNAL OF ANIMAL ECOLOGY,35
FUNCTIONAL ECOLOGY,29
GLOBAL ECOLOGY AND BIOGEOGRAPHY,28
PLOS ONE,28
ECOLOGY LETTERS,27
OECOLOGIA,27
OIKOS,22
ECOGRAPHY,20
ECOLOGY AND EVOLUTION,20
JOURNAL OF BIOGEOGRAPHY,20
JOURNAL OF VEGETATION SCIENCE,20
GLOBAL CHANGE BIOLOGY,19
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,17
FRESHWATER BIOLOGY,16
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,16
JOURNAL OF APPLIED ECOLOGY,14
DIVERSITY AND DISTRIBUTIONS,10
ECOSPHERE,10
ECOLOGICAL APPLICATIONS,9
HYDROBIOLOGIA,9
SCIENTIFIC REPORTS,9
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,7
ECOLOGICAL MONOGRAPHS,7
JOURNAL OF EVOLUTIONARY BIOLOGY,7
MARINE ECOLOGY PROGRESS SERIES,7
NEW PHYTOLOGIST,7
PEERJ,7
AMERICAN NATURALIST,6
BMC EVOLUTIONARY BIOLOGY,6
ESTUARINE COASTAL AND SHELF SCIENCE,6
EVOLUTION,6
FOREST ECOLOGY AND MANAGEMENT,6
SCIENCE OF THE TOTAL ENVIRONMENT,6
ANIMAL BEHAVIOUR,5
COMMUNITY ECOLOGY,5
ECOLOGICAL ENTOMOLOGY,5
ECOLOGICAL INDICATORS,5
EVOLUTIONARY ECOLOGY RESEARCH,5
METHODS IN ECOLOGY AND EVOLUTION,5
MOLECULAR ECOLOGY,5
ANNALS OF BOTANY,4
AQUATIC ECOLOGY,4
BIODIVERSITY AND CONSERVATION,4
BIOLOGICAL REVIEWS,4
ENVIRONMENTAL BIOLOGY OF FISHES,4
EVOLUTIONARY ECOLOGY,4
FORESTS,4
FRONTIERS IN ECOLOGY AND EVOLUTION,4
JOURNAL OF FISH BIOLOGY,4
JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,4
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,4
REVIEWS IN FISH BIOLOGY AND FISHERIES,4
ROYAL SOCIETY OPEN SCIENCE,4
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3
BEHAVIORAL ECOLOGY,3
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,3
BIOLOGICAL CONSERVATION,3
ECOHYDROLOGY,3
FRONTIERS IN MICROBIOLOGY,3
INSECT CONSERVATION AND DIVERSITY,3
JOURNAL OF PLANT ECOLOGY,3
JOURNAL OF THEORETICAL BIOLOGY,3
JOURNAL OF ZOOLOGY,3
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,3
PLANT ECOLOGY & DIVERSITY,3
SCIENCE,3
SOIL BIOLOGY & BIOCHEMISTRY,3
THEORETICAL ECOLOGY,3
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 46: GLOBAL CHANGE IN MULTISPECIES SYSTEMS, PT 1",2
ALPINE BOTANY,2
AUSTRAL ECOLOGY,2
BIOGEOSCIENCES,2
BIOLOGICAL INVASIONS,2
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2
CONSERVATION BIOLOGY,2
CORAL REEFS,2
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2
ECOLOGICAL COMPLEXITY,2
ECOLOGICAL ENGINEERING,2
ECOLOGY OF FRESHWATER FISH,2
FISH AND FISHERIES,2
FRONTIERS IN MARINE SCIENCE,2
FRONTIERS IN PLANT SCIENCE,2
GLOBAL ECOLOGY AND CONSERVATION,2
ISME JOURNAL,2
JOURNAL OF PLANKTON RESEARCH,2
JOURNAL OF SEA RESEARCH,2
LANDSCAPE ECOLOGY,2
"NATURE ECOLOGY & EVOLUTION",2
NEOTROPICAL ENTOMOLOGY,2
PALEOBIOLOGY,2
PLANT BIOLOGY,2
POLAR BIOLOGY,2
PRESLIA,2
PROGRESS IN OCEANOGRAPHY,2
REMOTE SENSING OF ENVIRONMENT,2
TUEXENIA,2
WATER,2
ADAPTIVE BEHAVIOR,1
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 45: THE ROLE OF BODY SIZE IN MULTISPECIES SYSTEMS",1
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 49: ECOLOGICAL NETWORKS IN AN AGRICULTURAL WORLD",1
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 52: TRAIT-BASED ECOLOGY - FROM STRUCTURE TO FUNCTION",1
"ADVANCES IN MARINE BIOLOGY, VOL 56",1
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1
AMERICAN FISHERIES SOCIETY SYMPOSIU,1
AMERICAN JOURNAL OF BOTANY,1
AMERICAN JOURNAL OF PRIMATOLOGY,1
AMPHIBIA-REPTILIA,1
ANIMAL COGNITION,1
ANIMAL CONSERVATION,1
ANNALS OF FOREST SCIENCE,1
"ANNUAL REVIEW OF ECOLOGY, EVOLUTION AND SYSTEMATICS",1
APPLIED SOIL ECOLOGY,1
AQUACULTURE RESEARCH,1
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,1
AQUATIC LIVING RESOURCES,1
ARTHROPOD-PLANT INTERACTIONS,1
BASIC AND APPLIED ECOLOGY,1
BIOCONTROL,1
BIOGEOGRAPHIC PATTERNS OF SOUTH AMERICAN ANURANS,1
BIOLOGIA,1
BIOLOGICAL BULLETIN,1
BIOLOGICAL CONTROL,1
BIOLOGY LETTERS,1
BMC ECOLOGY,1
BULLETIN OF INSECTOLOGY,1
CANADIAN JOURNAL OF FOREST RESEARCH,1
CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,1
CONDOR,1
CONTINENTAL SHELF RESEARCH,1
DATA IN BRIEF,1
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,1
ECOLOGICAL MODELLING,1
ECOLOGICAL RESEARCH,1
ECOSYSTEMS,1
ECOTOXICOLOGY,1
ENVIRONMENT INTERNATIONAL,1
ENVIRONMENTAL ENTOMOLOGY,1
ENVIRONMENTAL MICROBIOLOGY,1
ENVIRONMENTAL MONITORING AND ASSESSMENT,1
EUPHYTICA,1
EVOLUTIONARY BIOLOGY,1
EXPERIMENTAL AND APPLIED ACAROLOGY,1
FEMS MICROBIOLOGY ECOLOGY,1
FORESTRY,1
FRESHWATER SCIENCE,1
GENOME,1
GEODERMA,1
GEOSCIENTIFIC MODEL DEVELOPMENT,1
GRASS AND FORAGE SCIENCE,1
HERPETOLOGICA,1
HERPETOLOGICAL JOURNAL,1
HORMONES AND BEHAVIOR,1
INSECTS,1
INTEGRATIVE ZOOLOGY,1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1
INTERNATIONAL JOURNAL OF PLANT SCIENCES,1
INTERNATIONAL LETTERS OF NATURAL SCIENCES,1
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,1
JOURNAL OF AVIAN BIOLOGY,1
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,1
JOURNAL OF EXPERIMENTAL BIOLOGY,1
JOURNAL OF INSECT CONSERVATION,1
JOURNAL OF MOUNTAIN SCIENCE,1
JOURNAL OF NATURAL HISTORY,1
JOURNAL OF ORNITHOLOGY,1
JOURNAL OF PHYCOLOGY,1
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1
JOURNAL OF THE ROYAL SOCIETY INTERFACE,1
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1
LATERALITY,1
LIMNOLOGICA,1
MAMMAL REVIEW,1
MARINE BIOLOGY,1
MARINE BIOLOGY RESEARCH,1
MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,1
MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,1
MARINE ENVIRONMENTAL RESEARCH,1
MARINE POLLUTION BULLETIN,1
MATHEMATICAL AND COMPUTATIONAL FORESTRY AND NATURAL RESOURCES SCIENCES,1
MATHEMATICAL BIOSCIENCES,1
MATHEMATICS,1
MICROBIOME,1
MOVEMENT ECOLOGY,1
"NATURE",1
"NATURE COMMUNICATIONS",1
"NATUREZA & CONSERVACAO",1
NEUROTOXICOLOGY AND TERATOLOGY,1
NORTH-WESTERN JOURNAL OF ZOOLOGY,1
OSTRICH,1
PARASITES & VECTORS,1
PARASITOLOGY,1
PEDOBIOLOGIA,1
PERIODICUM BIOLOGORUM,1
PHYSICAL REVIEW E,1
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1
PLANT AND SOIL,1
PLOS BIOLOGY,1
REVUE D ECOLOGIE-LA TERRE ET LA VIE,1
RIVER RESEARCH AND APPLICATIONS,1
SCIENCE OF NATURE,1
SEED SCIENCE RESEARCH,1
SPRINGERPLUS,1
THE JOURNAL OF ANIMAL ECOLOGY,1
TREES-STRUCTURE AND FUNCTION,1
TRENDS IN ECOLOGY & EVOLUTION,1
URBAN FORESTRY & URBAN GREENING,1
WEED RESEARCH,1
WEED SCIENCE,1
ZOOTAXA,1
